latitude,longitude,depth
35.153270,129.131930,0.26
35.153270,129.132040,0.00
35.153270,129.132150,0.32
35.153270,129.132260,0.69
35.153270,129.132370,0.87
35.153270,129.132480,0.69
35.153270,129.132590,0.86
35.153270,129.132700,1.81
35.153270,129.132810,2.63
35.153270,129.132920,2.95
35.153270,129.133030,2.63
35.153270,129.133140,1.81
35.153270,129.133250,0.86
35.153270,129.133360,0.01
35.153270,129.133470,0.00
35.153270,129.133580,0.37
35.153270,129.133690,0.30
35.153270,129.133800,0.16
35.153270,129.133910,0.00
35.153270,129.134020,0.00
35.153180,129.134020,1.47
35.153180,129.133910,1.04
35.153180,129.133800,0.00
35.153180,129.133690,0.26
35.153180,129.133580,0.71
35.153180,129.133470,0.00
35.153180,129.133360,0.00
35.153180,129.133250,1.22
35.153180,129.133140,2.26
35.153180,129.133030,2.95
35.153180,129.132920,3.19
35.153180,129.132810,2.95
35.153180,129.132700,2.26
35.153180,129.132590,1.22
35.153180,129.132480,0.00
35.153180,129.132370,1.23
35.153180,129.132260,1.07
35.153180,129.132150,0.69
35.153180,129.132040,0.32
35.153180,129.131930,0.00
35.153090,129.131930,0.32
35.153090,129.132040,0.69
35.153090,129.132150,1.07
35.153090,129.132260,1.38
35.153090,129.132370,1.51
35.153090,129.132480,1.38
35.153090,129.132590,0.86
35.153090,129.132700,1.81
35.153090,129.132810,2.63
35.153090,129.132920,2.95
35.153090,129.133030,2.63
35.153090,129.133140,1.81
35.153090,129.133250,0.86
35.153090,129.133360,1.49
35.153090,129.133470,0.86
35.153090,129.133580,0.00
35.153090,129.133690,0.00
35.153090,129.133800,1.04
35.153090,129.133910,2.18
35.153090,129.134020,2.71
35.153000,129.134020,3.55
35.153000,129.133910,3.16
35.153000,129.133800,2.18
35.153000,129.133690,1.04
35.153000,129.133580,0.86
35.153000,129.133470,2.28
35.153000,129.133360,2.87
35.153000,129.133250,2.28
35.153000,129.133140,0.86
35.153000,129.133030,1.81
35.153000,129.132920,2.26
35.153000,129.132810,1.81
35.153000,129.132700,1.07
35.153000,129.132590,1.38
35.153000,129.132480,1.60
35.153000,129.132370,1.68
35.153000,129.132260,1.60
35.153000,129.132150,1.38
35.153000,129.132040,1.07
35.153000,129.131930,0.69
