latitude,longitude,depth
100,100,0.26
100,101,0.00
100,102,0.32
100,103,0.69
100,104,0.87
100,105,0.69
100,106,0.86
100,107,1.81
100,108,2.63
100,109,2.95
100,110,2.63
100,111,1.81
100,112,0.86
100,113,0.01
100,114,0.00
100,115,0.37
100,116,0.30
100,117,0.16
100,118,0.00
100,119,0.00
101,100,0.00
101,101,0.32
101,102,0.69
101,103,1.07
101,104,1.23
101,105,0.00
101,106,1.22
101,107,2.26
101,108,2.95
101,109,3.19
101,110,2.95
101,111,2.26
101,112,1.22
101,113,0.00
101,114,0.00
101,115,0.71
101,116,0.26
101,117,0.00
101,118,1.04
101,119,1.47
102,100,0.32
102,101,0.69
102,102,1.07
102,103,1.38
102,104,1.51
102,105,1.38
102,106,0.86
102,107,1.81
102,108,2.63
102,109,2.95
102,110,2.63
102,111,1.81
102,112,0.86
102,113,1.49
102,114,0.86
102,115,0.00
102,116,0.00
102,117,1.04
102,118,2.18
102,119,2.71
103,100,0.69
103,101,1.07
103,102,1.38
103,103,1.60
103,104,1.68
103,105,1.60
103,106,1.38
103,107,1.07
103,108,1.81
103,109,2.26
103,110,1.81
103,111,0.86
103,112,2.28
103,113,2.87
103,114,2.28
103,115,0.86
103,116,1.04
103,117,2.18
103,118,3.16
103,119,3.55
104,100,0.87
104,101,1.23
104,102,1.51
104,103,1.68
104,104,1.74
104,105,1.68
104,106,1.51
104,107,1.23
104,108,0.87
104,109,1.22
104,110,0.86
104,111,2.28
104,112,3.51
104,113,4.06
104,114,3.51
104,115,2.28
104,116,1.47
104,117,2.71
104,118,3.55
104,119,3.84
105,100,0.69
105,101,1.07
105,102,1.38
105,103,1.60
105,104,1.68
105,105,1.60
105,106,1.38
105,107,1.07
105,108,0.69
105,109,0.00
105,110,2.28
105,111,3.51
105,112,4.54
105,113,4.97
105,114,4.54
105,115,3.51
105,116,2.28
105,117,2.18
105,118,3.16
105,119,3.55
106,100,0.32
106,101,0.69
106,102,1.07
106,103,1.38
106,104,1.51
106,105,1.38
106,106,0.73
106,107,0.69
106,108,0.32
106,109,2.28
106,110,3.51
106,111,4.54
106,112,5.26
106,113,5.54
106,114,5.26
106,115,4.54
106,116,3.51
106,117,2.28
106,118,0.00
106,119,2.71
107,100,0.00
107,101,0.32
107,102,0.69
107,103,1.07
107,104,1.23
107,105,0.76
107,106,0.69
107,107,0.32
107,108,1.49
107,109,2.87
107,110,4.06
107,111,4.97
107,112,5.54
107,113,5.74
107,114,5.54
107,115,4.97
107,116,4.06
107,117,2.87
107,118,1.49
107,119,0.00
108,100,0.80
108,101,0.00
108,102,0.32
108,103,0.69
108,104,0.87
108,105,0.69
108,106,0.32
108,107,0.00
108,108,1.05
108,109,2.28
108,110,3.51
108,111,4.54
108,112,5.26
108,113,5.54
108,114,5.26
108,115,4.54
108,116,3.51
108,117,2.28
108,118,2.18
108,119,0.00
109,100,0.24
109,101,0.56
109,102,0.00
109,103,0.32
109,104,0.45
109,105,0.32
109,106,0.00
109,107,0.82
109,108,0.00
109,109,1.05
109,110,2.28
109,111,3.51
109,112,4.54
109,113,4.97
109,114,4.54
109,115,3.51
109,116,2.28
109,117,2.68
109,118,3.09
109,119,2.68
110,100,0.78
110,101,0.54
110,102,0.21
110,103,0.00
110,104,0.00
110,105,0.00
110,106,0.84
110,107,0.06
110,108,0.77
110,109,0.00
110,110,1.05
110,111,2.28
110,112,3.51
110,113,4.06
110,114,3.51
110,115,2.28
110,116,2.68
110,117,3.45
110,118,3.78
110,119,3.45
111,100,0.28
111,101,0.01
111,102,0.55
111,103,0.13
111,104,0.88
111,105,0.65
111,106,0.16
111,107,0.14
111,108,0.86
111,109,0.00
111,110,0.00
111,111,1.05
111,112,2.28
111,113,2.87
111,114,2.28
111,115,2.68
111,116,3.45
111,117,4.01
111,118,4.22
111,119,4.01
112,100,0.52
112,101,0.29
112,102,0.09
112,103,0.53
112,104,0.06
112,105,0.92
112,106,0.02
112,107,0.26
112,108,0.00
112,109,3.40
112,110,4.80
112,111,3.40
112,112,1.05
112,113,1.49
112,114,2.18
112,115,3.09
112,116,3.78
112,117,4.22
