latitude,longitude,depth
35.153399,129.133832,80
35.153459,129.133913,82
35.153511,129.134001,81
35.153568,129.134101,83
35.153619,129.134185,84
35.153666,129.134279,85
35.153714,129.134371,86
35.153763,129.134460,87
35.153808,129.134553,89
35.153819,129.134663,70
35.153731,129.134696,76
35.153724,129.134596,75
35.153679,129.134487,71
35.153622,129.134403,73
35.153552,129.134471,60
35.153485,129.134546,68
35.153420,129.134621,67
35.153353,129.134687,65
35.153288,129.134762,63
35.153348,129.134848,64
35.153414,129.134778,61
35.153481,129.134704,61
35.153546,129.134631,59
35.153624,129.134561,57
35.153597,129.134456,57
35.153581,129.134350,42
35.153536,129.134261,43
35.153492,129.134167,41
35.153437,129.134076,45
35.153385,129.133980,46
35.153335,129.133892,42
35.153265,129.133960,41
35.153272,129.134076,41
35.153282,129.134180,43
35.153291,129.134293,57
35.153295,129.134396,57
35.153209,129.134409,77
35.153207,129.134294,57
35.153199,129.134175,75
35.153192,129.134076,75
35.153186,129.133959,75
35.153101,129.133970,79
35.153110,129.134080,76
35.153115,129.134190,65
35.153126,129.134305,77
35.153130,129.134411,37
35.153141,129.134522,38
35.153222,129.134513,39
35.153314,129.134503,37
35.153405,129.134494,35
35.153401,129.134385,31
35.153400,129.134274,38
35.153388,129.134161,34
